experiment_id,backbone,loss,use_gender,test_mae,test_gw_mae,test_rmse,test_median_ae,test_num_samples,test_r2,test_mae_M,test_mae_F,test_mae_0_60,test_mae_60_120,test_mae_120_180,test_mae_180_228
E01,resnet50,mae,FALSE,16.339387893676758,16.351659774780273,20.646055221557617,13.792472839355469,1262.00 ,0.7572085112333298,16.008914947509766,16.730464935302734,15.299079895019531,16.338769912719727,16.156414031982422,
E02,resnet50,mae,TRUE,14.102082252502441,13.693864822387695,18.160263061523438,11.635456085205078,1262.00 ,0.8121533095836639,13.729630470275879,14.542840003967285,17.36454963684082,14.315058708190918,13.16612434387207,
E03,resnet50,gwmae,TRUE,13.85301685333252,13.489222526550293,17.75567626953125,11.428081512451172,1262.00 ,0.8204300254583359,13.835653305053711,13.873562812805176,16.007217407226562,13.332313537597656,13.187838554382324,
E04,resnet50,combined,TRUE,14.041723251342773,13.618229866027832,18.074787139892578,11.628517150878906,1262.00 ,0.8139174580574036,13.8326997756958,14.289079666137695,16.815845489501953,13.965495109558105,13.289752960205078,
E05,efficientnet_b4,mae,FALSE,13.958832740783691,13.787312507629395,17.727352142333984,11.60776138305664,1262.00 ,0.8210024833679199,14.429521560668945,13.401823043823242,14.225160598754883,13.5021333694458,13.67162036895752,
E06,efficientnet_b4,mae,TRUE,11.603962898254395,11.39527702331543,14.975390434265137,9.484806060791016,1262.00 ,0.8722633272409439,12.002397537231445,11.132458686828613,13.266526222229004,10.936161994934082,11.446468353271484,
E07,efficientnet_b4,gwmae,TRUE,11.394630432128906,11.034642219543457,14.729937553405762,9.360267639160156,1262.00 ,0.8764163330197334,11.43234920501709,11.349993705749512,15.916118621826172,10.976602554321289,10.703886032104492,
E08,efficientnet_b4,combined,TRUE,11.318580627441406,11.076434135437012,14.586276054382324,9.158576965332031,1262.00 ,0.878815196454525,11.403076171875,11.218592643737793,14.233955383300781,11.323904037475586,10.708954811096191,
E09,dinov2_vits,mae,FALSE,10.893950462341309,10.985489845275879,14.012084007263184,8.969554901123047,1082.00 ,0.8769304752349854,11.224352836608887,10.509360313415527,10.410011291503906,11.405072212219238,10.494813919067383,
E10,dinov2_vits,mae,TRUE,8.63667106628418,8.662788391113281,11.193390846252441,7.241600036621094,1082.00 ,0.9214640557765961,8.681264877319336,8.584763526916504,9.885224342346191,9.062760353088379,8.205670356750488,
E11,dinov2_vits,gwmae,TRUE,8.545448303222656,8.47989559173584,11.002522468566895,6.881134033203125,1082.00 ,0.9241196066141129,8.579928398132324,8.505314826965332,10.043028831481934,9.130295753479004,7.932756423950195,
E12,dinov2_vits,combined,TRUE,8.491859436035156,8.490545272827148,11.09752082824707,6.666770935058594,1082.00 ,0.922803595662117,8.413614273071289,8.582937240600586,9.915721893310547,9.181925773620605,7.901844501495361,
E13,dinov2_vitb,mae,FALSE,10.375483512878418,10.48997688293457,13.254286766052246,8.85357666015625,1121.00 ,0.8927844241261482,10.199199676513672,10.582917213439941,9.94240665435791,11.20277214050293,10.056757926940918,
E14,dinov2_vitb,mae,TRUE,8.244674682617188,8.216607093811035,10.698870658874512,6.69 ,1121.00 ,0.9301412105560303,7.932269096374512,8.61228084564209,8.651695251464844,9.072647094726562,7.621701240539551,
E15,dinov2_vitb,gwmae,TRUE,8.327271461486816,8.164043426513672,10.847076416015625,6.5740966796875,1121.00 ,0.9281923770904541,7.985960483551025,8.728889465332031,10.312621116638184,8.968070030212402,7.581202030181885,
E16,dinov2_vitb,combined,TRUE,8.239917755126953,8.16186809539795,10.712458610534668,6.5577850341796875,1121.00 ,0.9299636483192444,8.04429817199707,8.470105171203613,9.441192626953125,8.894140243530273,7.627867221832275,
E17,dinov2_vitl,mae,FALSE,11.332205772399902,11.303308486938477,14.692237854003906,9.219398498535156,1262.00 ,0.8770481199026108,10.627203941345215,12.166498184204102,11.323481559753418,12.265650749206543,10.663575172424316,
E18,dinov2_vitl,mae,TRUE,9.157400131225586,8.986392974853516,12.05254077911377,7.360439300537109,1262.00 ,0.9172598198056221,9.166423797607422,9.146720886230469,10.198127746582031,9.518973350524902,8.473302841186523,
E19,dinov2_vitl,gwmae,TRUE,9.511536598205566,9.158097267150879,12.620975494384766,7.7911376953125,1262.00 ,0.9092712104320526,9.539861679077148,9.47801685333252,12.30994701385498,9.556642532348633,8.743145942687988,
E20,dinov2_vitl,combined,TRUE,9.259689331054688,9.022464752197266,12.127744674682617,7.440101623535156,1262.00 ,0.9162240549921989,9.268360137939453,9.249428749084473,10.883164405822754,9.541089057922363,8.518726348876953,
E21,dinov2_vitg,mae,FALSE,10.657088279724121,10.631980895996094,13.501208305358887,8.947463989257812,1262.00 ,0.8961743786931038,10.806190490722656,10.480642318725586,10.038153648376465,10.600071907043457,10.483819961547852,
E22,dinov2_vitg,mae,TRUE,8.637048721313477,8.536107063293457,11.365350723266602,6.980934143066406,1262.00 ,0.9264258965849876,8.692509651184082,8.571415901184082,9.602569580078125,9.08454704284668,8.014655113220215,
E23,dinov2_vitg,gwmae,TRUE,8.727280616760254,8.48639965057373,11.440975189208984,7.0584716796875,1262.00 ,0.9254435300827026,8.763489723205566,8.684432029724121,10.811074256896973,8.993350982666016,7.9411797523498535,
E24,dinov2_vitg,combined,TRUE,8.691200256347656,8.526616096496582,11.385007858276367,7.12518310546875,1262.00 ,0.92617117613554,8.759883880615234,8.609923362731934,10.135869026184082,8.999181747436523,7.992978096008301,
